name,group,flash_point,spcode,replicate,%area
Eucarvone,monocyclic monoterpenoid,90,abma,1,NA
I-Verbenone,bicyclic ketone terpene,85,abma,1,NA
a-Citrylideneethanol,NA,104.5,abma,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abma,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abma,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,abma,1,NA
2-Undecanone,Ketone,88.9,abma,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abma,1,NA
Terpinyl acetate,methane monoterpenoid,83,abma,1,NA
delta-elemene,sesquiterpene,99.5,abma,1,NA
Ylangene,sesquiterpenoid,105.1,abma,1,8.19
Copaene,sesquiterpenoid,105.1,abma,1,NA
Thujopsene,sesquiterpene,105.9,abma,1,NA
cis-beta-elemene,sesquiterpene,98.3,abma,1,NA
Caryophyllene,sesquiterpene,104.9,abma,1,4.61
a-bergamotene,sesquiterpene,100.6,abma,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abma,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abma,1,NA
(-)-Aristolene,sesquiterpene,99.9,abma,1,6.59
Longifolene-(V4),sesquiterpene,95.6,abma,1,NA
Humulene,sesquiterpene,110.2,abma,1,NA
c-Muurolene,sesquiterpene,106.5,abma,1,NA
Germacrene D,sesquiterpene,111.9,abma,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abma,1,12.36
a-selinene,sesquiterpene,102,abma,1,NA
a-cuparene,benzene,113.3,abma,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abma,1,NA
2-Hydroxycyclopentadecanone,NA,162.8,abma,1,NA
Dodecanoic acid,fatty acid,165,abma,1,NA
Hedycaryol,terpenoid,110.9,abma,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abma,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abma,1,NA
b-eudesmol,terpene alcohol,108.6,abma,1,NA
Z-11-Tetradecenoic acid,NA,235.3,abma,1,3.05
Z-11-Pentadecenol,NA,128.6,abma,1,NA
Hexahydrofarnesyl acetone,NA,95.1,abma,1,5.81
Geranyl-a-terpinene,NA,NA,abma,1,NA
Palmitoleic acid ,NA,239.2,abma,1,NA
Sclareol,labdane diterpenoid,169%,abma,1,5.35
3-carene,bicyclic monoterpene,46,abma,2,NA
a-pinene,monoterpene,33,abma,2,1.41
b-pinene,monoterpene,36,abma,2,5.65
b-Myrcene,monoterpene,39.4,abma,2,NA
a-Phellandrene,cyclic monoterpene,47.2,abma,2,11.49
D-Limonene,cyclic monoterpene,50,abma,2,NA
c-Terpinene,cyclic monoterpene,100,abma,2,NA
2-Carene,bicyclic monoterpene,38,abma,2,NA
Terpinolene,cyclic monoterpene,100,abma,2,NA
Pinocarvone,bicyclic monoterpene,85,abma,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,abma,2,NA
Crypton ,Ketone,87.2,abma,2,1.13
Dodecanal,Fatty aldehyde,114,abma,2,4.88
(1R)-(-)-Myrtenal,terpene aldehyde,80,abma,2,NA
Eucarvone,monocyclic monoterpenoid,90,abma,2,NA
I-Verbenone,bicyclic ketone terpene,85,abma,2,NA
a-Citrylideneethanol,NA,104.5,abma,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,abma,2,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,abma,2,NA
Phellandral,monocyclic terpene aldehyde,83.6,abma,2,NA
2-Undecanone,Ketone,88.9,abma,2,2.60
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,abma,2,NA
Terpinyl acetate,methane monoterpenoid,83,abma,2,NA
delta-elemene,sesquiterpene,99.5,abma,2,NA
Ylangene,sesquiterpenoid,105.1,abma,2,NA
Copaene,sesquiterpenoid,105.1,abma,2,NA
Thujopsene,sesquiterpene,105.9,abma,2,NA
cis-beta-elemene,sesquiterpene,98.3,abma,2,NA
Caryophyllene,sesquiterpene,104.9,abma,2,8.82
a-bergamotene,sesquiterpene,100.6,abma,2,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,abma,2,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,abma,2,NA
(-)-Aristolene,sesquiterpene,99.9,abma,2,NA
Longifolene-(V4),sesquiterpene,95.6,abma,2,NA
Humulene,sesquiterpene,110.2,abma,2,34.00
c-Muurolene,sesquiterpene,106.5,abma,2,NA
Germacrene D,sesquiterpene,111.9,abma,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,abma,2,NA
a-selinene,sesquiterpene,102,abma,2,NA
a-cuparene,benzene,113.3,abma,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,abma,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,abma,2,NA
Dodecanoic acid,fatty acid,165,abma,2,NA
Hedycaryol,terpenoid,110.9,abma,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,abma,2,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,abma,2,1.57
b-eudesmol,terpene alcohol,108.6,abma,2,NA
Z-11-Tetradecenoic acid,NA,235.3,abma,2,NA
Z-11-Pentadecenol,NA,128.6,abma,2,NA
Hexahydrofarnesyl acetone,NA,95.1,abma,2,2.27
Geranyl-a-terpinene,NA,NA,abma,2,NA
Palmitoleic acid ,NA,239.2,abma,2,NA
Sclareol,labdane diterpenoid,169%,abma,2,NA
3-carene,bicyclic monoterpene,46,abma,3,NA
a-pinene,monoterpene,33,abma,3,NA
b-pinene,monoterpene,36,abma,3,9.95
