name,group,flash_point,spcode,replicate,%area
c-Muurolene,sesquiterpene,106.5,quke,2,NA
Germacrene D,sesquiterpene,111.9,quke,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,quke,2,NA
a-selinene,sesquiterpene,102,quke,2,NA
a-cuparene,benzene,113.3,quke,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,quke,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,quke,2,NA
Dodecanoic acid,fatty acid,165,quke,2,NA
Hedycaryol,terpenoid,110.9,quke,2,NA
(-)-Spathulenol,sesquiterpenoid,123.9,quke,2,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,quke,2,NA
b-eudesmol,terpene alcohol,108.6,quke,2,NA
Z-11-Tetradecenoic acid,NA,235.3,quke,2,NA
Z-11-Pentadecenol,NA,128.6,quke,2,NA
Hexahydrofarnesyl acetone,NA,95.1,quke,2,48.83
Geranyl-a-terpinene,NA,NA,quke,2,NA
Palmitoleic acid ,NA,239.2,quke,2,NA
Sclareol,labdane diterpenoid,169%,quke,2,NA
3-carene,bicyclic monoterpene,46,quke,3,NA
a-pinene,monoterpene,33,quke,3,NA
b-pinene,monoterpene,36,quke,3,NA
b-Myrcene,monoterpene,39.4,quke,3,NA
a-Phellandrene,cyclic monoterpene,47.2,quke,3,NA
D-Limonene,cyclic monoterpene,50,quke,3,NA
c-Terpinene,cyclic monoterpene,100,quke,3,NA
2-Carene,bicyclic monoterpene,38,quke,3,NA
Terpinolene,cyclic monoterpene,100,quke,3,NA
Pinocarvone,bicyclic monoterpene,85,quke,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,quke,3,NA
Crypton ,Ketone,87.2,quke,3,NA
Dodecanal,Fatty aldehyde,114,quke,3,4.56
(1R)-(-)-Myrtenal,terpene aldehyde,80,quke,3,NA
Eucarvone,monocyclic monoterpenoid,90,quke,3,NA
I-Verbenone,bicyclic ketone terpene,85,quke,3,NA
a-Citrylideneethanol,NA,104.5,quke,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,quke,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,quke,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,quke,3,NA
2-Undecanone,Ketone,88.9,quke,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,quke,3,NA
Terpinyl acetate,methane monoterpenoid,83,quke,3,NA
delta-elemene,sesquiterpene,99.5,quke,3,NA
Ylangene,sesquiterpenoid,105.1,quke,3,NA
Copaene,sesquiterpenoid,105.1,quke,3,NA
Thujopsene,sesquiterpene,105.9,quke,3,NA
cis-beta-elemene,sesquiterpene,98.3,quke,3,NA
Caryophyllene,sesquiterpene,104.9,quke,3,NA
a-bergamotene,sesquiterpene,100.6,quke,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,quke,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,quke,3,NA
(-)-Aristolene,sesquiterpene,99.9,quke,3,NA
Longifolene-(V4),sesquiterpene,95.6,quke,3,NA
Humulene,sesquiterpene,110.2,quke,3,NA
c-Muurolene,sesquiterpene,106.5,quke,3,NA
Germacrene D,sesquiterpene,111.9,quke,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,quke,3,19.71
a-selinene,sesquiterpene,102,quke,3,NA
a-cuparene,benzene,113.3,quke,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,quke,3,NA
2-Hydroxycyclopentadecanone,NA,162.8,quke,3,NA
Dodecanoic acid,fatty acid,165,quke,3,NA
Hedycaryol,terpenoid,110.9,quke,3,NA
(-)-Spathulenol,sesquiterpenoid,123.9,quke,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,quke,3,NA
b-eudesmol,terpene alcohol,108.6,quke,3,NA
Z-11-Tetradecenoic acid,NA,235.3,quke,3,NA
Z-11-Pentadecenol,NA,128.6,quke,3,NA
Hexahydrofarnesyl acetone,NA,95.1,quke,3,30.34
Geranyl-a-terpinene,NA,NA,quke,3,NA
Palmitoleic acid ,NA,239.2,quke,3,NA
Sclareol,labdane diterpenoid,169%,quke,3,NA
3-carene,bicyclic monoterpene,46,quke,4,NA
a-pinene,monoterpene,33,quke,4,NA
b-pinene,monoterpene,36,quke,4,NA
b-Myrcene,monoterpene,39.4,quke,4,NA
a-Phellandrene,cyclic monoterpene,47.2,quke,4,NA
D-Limonene,cyclic monoterpene,50,quke,4,NA
c-Terpinene,cyclic monoterpene,100,quke,4,NA
2-Carene,bicyclic monoterpene,38,quke,4,NA
Terpinolene,cyclic monoterpene,100,quke,4,NA
Pinocarvone,bicyclic monoterpene,85,quke,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,quke,4,NA
Crypton ,Ketone,87.2,quke,4,NA
Dodecanal,Fatty aldehyde,114,quke,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,quke,4,NA
Eucarvone,monocyclic monoterpenoid,90,quke,4,NA
I-Verbenone,bicyclic ketone terpene,85,quke,4,NA
a-Citrylideneethanol,NA,104.5,quke,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,quke,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,quke,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,quke,4,NA
2-Undecanone,Ketone,88.9,quke,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,quke,4,NA
Terpinyl acetate,methane monoterpenoid,83,quke,4,NA
delta-elemene,sesquiterpene,99.5,quke,4,NA
Ylangene,sesquiterpenoid,105.1,quke,4,NA
Copaene,sesquiterpenoid,105.1,quke,4,NA
Thujopsene,sesquiterpene,105.9,quke,4,NA
cis-beta-elemene,sesquiterpene,98.3,quke,4,NA
Caryophyllene,sesquiterpene,104.9,quke,4,NA
a-bergamotene,sesquiterpene,100.6,quke,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,quke,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,quke,4,25.47
(-)-Aristolene,sesquiterpene,99.9,quke,4,NA
Longifolene-(V4),sesquiterpene,95.6,quke,4,NA
Humulene,sesquiterpene,110.2,quke,4,NA
c-Muurolene,sesquiterpene,106.5,quke,4,NA
Germacrene D,sesquiterpene,111.9,quke,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,quke,4,NA
a-selinene,sesquiterpene,102,quke,4,NA
a-cuparene,benzene,113.3,quke,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,quke,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,quke,4,NA
Dodecanoic acid,fatty acid,165,quke,4,NA
Hedycaryol,terpenoid,110.9,quke,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,quke,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,quke,4,NA
b-eudesmol,terpene alcohol,108.6,quke,4,NA
Z-11-Tetradecenoic acid,NA,235.3,quke,4,NA
Z-11-Pentadecenol,NA,128.6,quke,4,NA
Hexahydrofarnesyl acetone,NA,95.1,quke,4,74.53
Geranyl-a-terpinene,NA,NA,quke,4,NA
Palmitoleic acid ,NA,239.2,quke,4,NA
Sclareol,labdane diterpenoid,169%,quke,4,NA
3-carene,bicyclic monoterpene,46,segi,1,28.24
a-pinene,monoterpene,33,segi,1,NA
b-pinene,monoterpene,36,segi,1,NA
b-Myrcene,monoterpene,39.4,segi,1,7.99
a-Phellandrene,cyclic monoterpene,47.2,segi,1,NA
D-Limonene,cyclic monoterpene,50,segi,1,7.50
c-Terpinene,cyclic monoterpene,100,segi,1,NA
2-Carene,bicyclic monoterpene,38,segi,1,1.69
Terpinolene,cyclic monoterpene,100,segi,1,NA
Pinocarvone,bicyclic monoterpene,85,segi,1,2.18
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,segi,1,NA
Crypton ,Ketone,87.2,segi,1,NA
Dodecanal,Fatty aldehyde,114,segi,1,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,segi,1,NA
Eucarvone,monocyclic monoterpenoid,90,segi,1,NA
I-Verbenone,bicyclic ketone terpene,85,segi,1,5.30
a-Citrylideneethanol,NA,104.5,segi,1,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,segi,1,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,segi,1,NA
Phellandral,monocyclic terpene aldehyde,83.6,segi,1,NA
2-Undecanone,Ketone,88.9,segi,1,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,segi,1,NA
Terpinyl acetate,methane monoterpenoid,83,segi,1,NA
delta-elemene,sesquiterpene,99.5,segi,1,NA
Ylangene,sesquiterpenoid,105.1,segi,1,NA
Copaene,sesquiterpenoid,105.1,segi,1,NA
Thujopsene,sesquiterpene,105.9,segi,1,NA
cis-beta-elemene,sesquiterpene,98.3,segi,1,NA
Caryophyllene,sesquiterpene,104.9,segi,1,8.33
a-bergamotene,sesquiterpene,100.6,segi,1,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,segi,1,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,segi,1,2.02
(-)-Aristolene,sesquiterpene,99.9,segi,1,NA
Longifolene-(V4),sesquiterpene,95.6,segi,1,NA
Humulene,sesquiterpene,110.2,segi,1,17.47
c-Muurolene,sesquiterpene,106.5,segi,1,NA
Germacrene D,sesquiterpene,111.9,segi,1,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,segi,1,NA
a-selinene,sesquiterpene,102,segi,1,NA
a-cuparene,benzene,113.3,segi,1,NA
cis-5-Dodecenoic acid,fatty acid,207.6,segi,1,NA
2-Hydroxycyclopentadecanone,NA,162.8,segi,1,NA
Dodecanoic acid,fatty acid,165,segi,1,3.87
Hedycaryol,terpenoid,110.9,segi,1,NA
(-)-Spathulenol,sesquiterpenoid,123.9,segi,1,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,segi,1,NA
b-eudesmol,terpene alcohol,108.6,segi,1,7.86
Z-11-Tetradecenoic acid,NA,235.3,segi,1,NA
Z-11-Pentadecenol,NA,128.6,segi,1,NA
Hexahydrofarnesyl acetone,NA,95.1,segi,1,0.92
Geranyl-a-terpinene,NA,NA,segi,1,NA
Palmitoleic acid ,NA,239.2,segi,1,NA
Sclareol,labdane diterpenoid,169%,segi,1,NA
3-carene,bicyclic monoterpene,46,segi,2,8.66
a-pinene,monoterpene,33,segi,2,NA
b-pinene,monoterpene,36,segi,2,NA
b-Myrcene,monoterpene,39.4,segi,2,3.18
a-Phellandrene,cyclic monoterpene,47.2,segi,2,NA
D-Limonene,cyclic monoterpene,50,segi,2,NA
c-Terpinene,cyclic monoterpene,100,segi,2,NA
2-Carene,bicyclic monoterpene,38,segi,2,NA
Terpinolene,cyclic monoterpene,100,segi,2,NA
Pinocarvone,bicyclic monoterpene,85,segi,2,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,segi,2,NA
Crypton ,Ketone,87.2,segi,2,NA
Dodecanal,Fatty aldehyde,114,segi,2,1.85
(1R)-(-)-Myrtenal,terpene aldehyde,80,segi,2,NA
Eucarvone,monocyclic monoterpenoid,90,segi,2,NA
I-Verbenone,bicyclic ketone terpene,85,segi,2,0.47
a-Citrylideneethanol,NA,104.5,segi,2,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,segi,2,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,segi,2,NA
Phellandral,monocyclic terpene aldehyde,83.6,segi,2,NA
2-Undecanone,Ketone,88.9,segi,2,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,segi,2,NA
Terpinyl acetate,methane monoterpenoid,83,segi,2,NA
delta-elemene,sesquiterpene,99.5,segi,2,NA
Ylangene,sesquiterpenoid,105.1,segi,2,NA
Copaene,sesquiterpenoid,105.1,segi,2,3.78
Thujopsene,sesquiterpene,105.9,segi,2,NA
cis-beta-elemene,sesquiterpene,98.3,segi,2,NA
Caryophyllene,sesquiterpene,104.9,segi,2,3.19
a-bergamotene,sesquiterpene,100.6,segi,2,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,segi,2,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,segi,2,4.00
(-)-Aristolene,sesquiterpene,99.9,segi,2,NA
Longifolene-(V4),sesquiterpene,95.6,segi,2,10.20
Humulene,sesquiterpene,110.2,segi,2,7.28
c-Muurolene,sesquiterpene,106.5,segi,2,NA
Germacrene D,sesquiterpene,111.9,segi,2,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,segi,2,NA
a-selinene,sesquiterpene,102,segi,2,NA
a-cuparene,benzene,113.3,segi,2,NA
cis-5-Dodecenoic acid,fatty acid,207.6,segi,2,NA
2-Hydroxycyclopentadecanone,NA,162.8,segi,2,NA
Dodecanoic acid,fatty acid,165,segi,2,NA
Hedycaryol,terpenoid,110.9,segi,2,14.90
(-)-Spathulenol,sesquiterpenoid,123.9,segi,2,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,segi,2,1.84
b-eudesmol,terpene alcohol,108.6,segi,2,17.35
Z-11-Tetradecenoic acid,NA,235.3,segi,2,NA
Z-11-Pentadecenol,NA,128.6,segi,2,NA
Hexahydrofarnesyl acetone,NA,95.1,segi,2,4.55
Geranyl-a-terpinene,NA,NA,segi,2,NA
Palmitoleic acid ,NA,239.2,segi,2,2.09
Sclareol,labdane diterpenoid,169%,segi,2,NA
3-carene,bicyclic monoterpene,46,segi,3,NA
a-pinene,monoterpene,33,segi,3,5.33
b-pinene,monoterpene,36,segi,3,NA
b-Myrcene,monoterpene,39.4,segi,3,NA
a-Phellandrene,cyclic monoterpene,47.2,segi,3,NA
D-Limonene,cyclic monoterpene,50,segi,3,NA
c-Terpinene,cyclic monoterpene,100,segi,3,NA
2-Carene,bicyclic monoterpene,38,segi,3,NA
Terpinolene,cyclic monoterpene,100,segi,3,NA
Pinocarvone,bicyclic monoterpene,85,segi,3,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,segi,3,NA
Crypton ,Ketone,87.2,segi,3,NA
Dodecanal,Fatty aldehyde,114,segi,3,2.53
(1R)-(-)-Myrtenal,terpene aldehyde,80,segi,3,NA
Eucarvone,monocyclic monoterpenoid,90,segi,3,NA
I-Verbenone,bicyclic ketone terpene,85,segi,3,0.95
a-Citrylideneethanol,NA,104.5,segi,3,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,segi,3,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,segi,3,NA
Phellandral,monocyclic terpene aldehyde,83.6,segi,3,NA
2-Undecanone,Ketone,88.9,segi,3,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,segi,3,NA
Terpinyl acetate,methane monoterpenoid,83,segi,3,NA
delta-elemene,sesquiterpene,99.5,segi,3,NA
Ylangene,sesquiterpenoid,105.1,segi,3,1.91
Copaene,sesquiterpenoid,105.1,segi,3,3.57
Thujopsene,sesquiterpene,105.9,segi,3,NA
cis-beta-elemene,sesquiterpene,98.3,segi,3,NA
Caryophyllene,sesquiterpene,104.9,segi,3,3.21
a-bergamotene,sesquiterpene,100.6,segi,3,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,segi,3,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,segi,3,6.37
(-)-Aristolene,sesquiterpene,99.9,segi,3,NA
Longifolene-(V4),sesquiterpene,95.6,segi,3,NA
Humulene,sesquiterpene,110.2,segi,3,7.55
c-Muurolene,sesquiterpene,106.5,segi,3,NA
Germacrene D,sesquiterpene,111.9,segi,3,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,segi,3,NA
a-selinene,sesquiterpene,102,segi,3,NA
a-cuparene,benzene,113.3,segi,3,NA
cis-5-Dodecenoic acid,fatty acid,207.6,segi,3,17.66
2-Hydroxycyclopentadecanone,NA,162.8,segi,3,NA
Dodecanoic acid,fatty acid,165,segi,3,NA
Hedycaryol,terpenoid,110.9,segi,3,20.23
(-)-Spathulenol,sesquiterpenoid,123.9,segi,3,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,segi,3,2.63
b-eudesmol,terpene alcohol,108.6,segi,3,NA
Z-11-Tetradecenoic acid,NA,235.3,segi,3,4.76
Z-11-Pentadecenol,NA,128.6,segi,3,NA
Hexahydrofarnesyl acetone,NA,95.1,segi,3,5.96
Geranyl-a-terpinene,NA,NA,segi,3,NA
Palmitoleic acid ,NA,239.2,segi,3,3.42
Sclareol,labdane diterpenoid,169%,segi,3,NA
3-carene,bicyclic monoterpene,46,segi,4,NA
a-pinene,monoterpene,33,segi,4,79.91
b-pinene,monoterpene,36,segi,4,NA
b-Myrcene,monoterpene,39.4,segi,4,NA
a-Phellandrene,cyclic monoterpene,47.2,segi,4,NA
D-Limonene,cyclic monoterpene,50,segi,4,NA
c-Terpinene,cyclic monoterpene,100,segi,4,NA
2-Carene,bicyclic monoterpene,38,segi,4,NA
Terpinolene,cyclic monoterpene,100,segi,4,NA
Pinocarvone,bicyclic monoterpene,85,segi,4,NA
Terpinen-4-ol,monoterpene alcohol / monocyclic monoterpenoid,79.4,segi,4,NA
Crypton ,Ketone,87.2,segi,4,NA
Dodecanal,Fatty aldehyde,114,segi,4,NA
(1R)-(-)-Myrtenal,terpene aldehyde,80,segi,4,NA
Eucarvone,monocyclic monoterpenoid,90,segi,4,NA
I-Verbenone,bicyclic ketone terpene,85,segi,4,NA
a-Citrylideneethanol,NA,104.5,segi,4,NA
"4,6-Heptadienoic acid, 3, 3, 6-trimethyl-, methyl ester",NA,68.1,segi,4,NA
"Cyclohexanecarboxylic acid, 2-(2-propenyl)-, methyl ester",NA,82.6,segi,4,NA
Phellandral,monocyclic terpene aldehyde,83.6,segi,4,NA
2-Undecanone,Ketone,88.9,segi,4,NA
"Tricyclo[3, 2,2,0]nonane-2-carboxylic acid",NA,136.5,segi,4,NA
Terpinyl acetate,methane monoterpenoid,83,segi,4,NA
delta-elemene,sesquiterpene,99.5,segi,4,NA
Ylangene,sesquiterpenoid,105.1,segi,4,NA
Copaene,sesquiterpenoid,105.1,segi,4,NA
Thujopsene,sesquiterpene,105.9,segi,4,NA
cis-beta-elemene,sesquiterpene,98.3,segi,4,NA
Caryophyllene,sesquiterpene,104.9,segi,4,6.63
a-bergamotene,sesquiterpene,100.6,segi,4,NA
trans-Sesquisabinene hydrate,sesquiterpenoid,125.4,segi,4,NA
trans-Geranylacetone,acyclic monoterpenoid ketone,107.2,segi,4,NA
(-)-Aristolene,sesquiterpene,99.9,segi,4,NA
Longifolene-(V4),sesquiterpene,95.6,segi,4,NA
Humulene,sesquiterpene,110.2,segi,4,13.46
c-Muurolene,sesquiterpene,106.5,segi,4,NA
Germacrene D,sesquiterpene,111.9,segi,4,NA
7-Isopropenyl-1-methyl-4-methylenedecahydroazulene,sesquiterpene,105.1,segi,4,NA
a-selinene,sesquiterpene,102,segi,4,NA
a-cuparene,benzene,113.3,segi,4,NA
cis-5-Dodecenoic acid,fatty acid,207.6,segi,4,NA
2-Hydroxycyclopentadecanone,NA,162.8,segi,4,NA
Dodecanoic acid,fatty acid,165,segi,4,NA
Hedycaryol,terpenoid,110.9,segi,4,NA
(-)-Spathulenol,sesquiterpenoid,123.9,segi,4,NA
Caryophyllene oxide,epoxide sesquiterpene,119.7,segi,4,NA
b-eudesmol,terpene alcohol,108.6,segi,4,NA
Z-11-Tetradecenoic acid,NA,235.3,segi,4,NA
Z-11-Pentadecenol,NA,128.6,segi,4,NA
Hexahydrofarnesyl acetone,NA,95.1,segi,4,NA
Geranyl-a-terpinene,NA,NA,segi,4,NA
Palmitoleic acid ,NA,239.2,segi,4,NA
Sclareol,labdane diterpenoid,169%,segi,4,NA
