"Plot Title: 1253388 "
"#","Time, GMT-05:00","K-Type, °C","Started","Button Down","Button Up","Host Connected","Stopped","End Of File"
235,08/20/15 11:02:21.843 AM,22.29,,,,,,
236,08/20/15 11:02:22.843 AM,22.63,,,,,,
237,08/20/15 11:02:23.843 AM,22.63,,,,,,
238,08/20/15 11:02:24.843 AM,22.29,,,,,,
239,08/20/15 11:02:25.843 AM,22.63,,,,,,
240,08/20/15 11:02:26.843 AM,22.63,,,,,,
241,08/20/15 11:02:27.843 AM,22.29,,,,,,
242,08/20/15 11:02:28.843 AM,22.29,,,,,,
243,08/20/15 11:02:29.843 AM,22.29,,,,,,
244,08/20/15 11:02:30.843 AM,22.29,,,,,,
245,08/20/15 11:02:31.843 AM,22.63,,,,,,
246,08/20/15 11:02:32.843 AM,22.63,,,,,,
247,08/20/15 11:02:33.843 AM,22.29,,,,,,
248,08/20/15 11:02:34.843 AM,22.29,,,,,,
249,08/20/15 11:02:35.843 AM,22.63,,,,,,
250,08/20/15 11:02:36.843 AM,22.29,,,,,,
251,08/20/15 11:02:37.843 AM,22.63,,,,,,
252,08/20/15 11:02:38.843 AM,22.29,,,,,,
253,08/20/15 11:02:39.843 AM,22.29,,,,,,
254,08/20/15 11:02:40.843 AM,22.63,,,,,,
255,08/20/15 11:02:41.843 AM,22.63,,,,,,
256,08/20/15 11:02:42.843 AM,22.29,,,,,,
257,08/20/15 11:02:43.843 AM,22.63,,,,,,
258,08/20/15 11:02:44.843 AM,22.63,,,,,,
259,08/20/15 11:02:45.843 AM,22.29,,,,,,
260,08/20/15 11:02:46.843 AM,22.63,,,,,,
261,08/20/15 11:02:47.843 AM,22.63,,,,,,
262,08/20/15 11:02:48.843 AM,22.63,,,,,,
263,08/20/15 11:02:49.843 AM,22.63,,,,,,
264,08/20/15 11:02:50.843 AM,22.63,,,,,,
265,08/20/15 11:02:51.843 AM,22.29,,,,,,
266,08/20/15 11:02:52.843 AM,22.63,,,,,,
267,08/20/15 11:02:53.843 AM,22.29,,,,,,
268,08/20/15 11:02:54.843 AM,22.63,,,,,,
269,08/20/15 11:02:55.843 AM,22.63,,,,,,
270,08/20/15 11:02:56.843 AM,22.63,,,,,,
271,08/20/15 11:02:57.843 AM,22.29,,,,,,
272,08/20/15 11:02:58.843 AM,22.63,,,,,,
273,08/20/15 11:02:59.843 AM,22.63,,,,,,
274,08/20/15 11:03:00.843 AM,22.63,,,,,,
275,08/20/15 11:03:01.843 AM,22.63,,,,,,
