nid,spcode,moisture,MC_dry,actualMC_dry,day,month,year,time,t2ignit,ignit.x,ignit.y,sustain,combust,consum.x,consum.y,spread.x,spread.y,rh,temp,hour,T_C
113,Pipo,15,20,19.2,11,9,2015,12:57,5.61,1,1,692.75,1040,90.8,89.65,2.757,0.275684617,42.1,83.6,72,28.7
114,Pipo,20,25,27.4,29,7,2015,13:29,8.03,1,1,1213.8,850,82.9,80.73,1.379,0.137918352,47.6,90.2,48,32.3
115,Pipo,20,25,29.9,29,7,2015,14:38,14.85,1,1,1187.9,790,83.2,81.13,1.407,0.140660165,41.2,95.2,48,35.1
116,Pipo,20,25,28.9,3,8,2015,12:48,13.34,1,1,563.88,630,10.7,0,0.834,0.083351068,46.1,90.7,48,32.6
117,Pipo,20,25,21,3,8,2015,14:25,4.53,1,1,842.55,980,85,83.1,1.94,0.194024059,43.2,92.2,48,33.4
118,Pipo,20,25,23.3,11,9,2015,12:20,5.9,1,1,768.14,920,94.49,93.8,2.203,0.220267552,43.3,82.1,48,27.8
119,Pipo,25,35,33.8,11,9,2015,11:17,7.35,1,1,1401.61,750,66.87,62.73,1.164,0.116437027,41.2,80.9,48,27.2
120,Pipo,25,35,32.7,11,9,2015,13:36,7.18,1,1,842.82,810,82.67,80.5,1.906,0.108139283,38.8,84.6,48,29.2
121,Pipo,30,45,54.3,23,4,2015,12:08,22.77,1,1,77.87,150,1.4,1.4,1.81,0.12841916,73.6,65.3,24,18.5
122,Pipo,30,45,48.2,23,4,2015,12:42,16.47,0,0,66.56,0,2.2,2.2,0,0,72.9,65.7,24,18.7
123,Pipo,30,45,34.8,3,8,2015,12:06,10.72,1,1,1470.69,790,85.8,84.05,1.084,0.108420672,46.1,88.3,24,31.3
124,Pipo,30,45,34,3,8,2015,15:15,3.78,1,1,989.34,950,85.9,84.15,1.955,0.195465207,41.4,93.8,24,34.3
125,Pipo,35,55,NA,0,0,2015,2:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
126,Pipo,40,65,NA,0,0,2015,3:00,180,0,NA,NA,NA,0,NA,0,NA,33.3,100.4,NA,NA
127,Quke,10,10,12.5,21,7,2015,12:57,3.05,1,1,359.46,660,71.8,85.9,4.77,0.477190303,55.1,84.9,120,29.4
128,Quke,10,10,10.2,29,7,2015,13:14,1.58,1,1,260.5,1070,92.2,96.1,6.696,0.669642857,48,89.6,120,32
129,Quke,10,10,11,29,7,2015,14:25,2.3,1,1,184.8,1060,94.2,97.1,8.646,0.864553314,41.8,95,120,35
130,Quke,10,10,11.7,31,8,2015,11:16,2.36,1,1,432.9,800,95.04,94.43,4.454,0.445447526,46.3,79.7,120,26.5
131,Quke,10,10,12.2,31,8,2015,13:51,2.61,1,1,278.48,770,92.4,91.45,5.87,0.586992252,31.7,88.2,120,31.2
132,Quke,15,10,NA,21,7,2015,11:15,4,1,NA,NA,NA,72.1,NA,4.96,NA,60.1,79.4,NA,NA
133,Quke,15,20,16.5,21,7,2015,15:07,3.25,1,1,403.71,740,73.1,86.55,4.03,0.40333423,49.7,89.7,96,32.1
134,Quke,15,20,19.8,11,8,2015,10:53,5.95,1,1,289.96,860,93.2,96.6,5.461,0.546089996,57.1,83.2,96,28.4
135,Quke,15,20,19,11,8,2015,11:32,5.15,1,1,260,920,91.3,95.65,6.01,0.600985616,51.4,87.2,96,30.7
136,Quke,15,20,18.5,11,8,2015,12:30,4.23,1,1,337.58,900,91.15,95.58,5.591,0.559054825,48.2,89.6,96,32
137,Quke,20,25,26.7,4,5,2015,10:48,2.78,1,1,363.55,700,10.5,10.5,1.66,0.165039197,65,71.2,96,21.8
138,Quke,20,25,27.4,26,5,2015,12:39,3.71,1,1,66.33,320,17.1,58.53,1.6,0.150761345,38.3,75.1,96,23.9
139,Quke,20,25,23.8,26,5,2015,13:42,1.64,1,1,258.83,400,51.3,75.65,3.69,0.367036279,34.7,77.9,96,25.5
140,Quke,20,25,29.6,11,8,2015,11:16,6.05,1,1,313.73,840,92.55,96.28,4.219,0.421881592,53.6,86.7,96,30.4
