hour,rep,wet_weight,dry_weight,spcode,MC_wet,MC_dry,bd
0,3_2,10.5,4.3,Pipo,59,144.2,0.030637255
0,3_3,11,4.7,Pipo,57.3,134,0.030637255
0,3_1,12.7,1.8,Quke,85.8,605.6,0.028172188
0,3_2,12.8,1.9,Quke,85.2,573.7,0.028172188
0,3_3,13.1,1.7,Quke,87,670.6,0.028172188
0,3_1,10.6,5.8,Segi,45.3,82.8,0.102515036
0,3_2,13,7.2,Segi,44.6,80.6,0.102515036
0,3_3,11.6,6.6,Segi,43.1,75.8,0.102515036
19,3_1,12.9,9.1,Abco,29.5,41.8,0.055114638
19,3_2,11.4,7.6,Abco,33.3,50,0.055114638
19,3_3,11.8,8.7,Abco,26.3,35.6,0.055114638
19,3_1,14.1,9.1,Abma,35.5,54.9,0.050322061
19,3_2,12.6,7.2,Abma,42.9,75,0.050322061
19,3_3,13.5,7.4,Abma,45.2,82.4,0.050322061
19,3_1,13.8,8.1,Cade,41.3,70.4,0.112007168
19,3_2,13.1,7.2,Cade,45,81.9,0.112007168
19,3_3,13.2,6.2,Cade,53,112.9,0.112007168
19,3_1,11,8.5,Pije,22.7,29.4,0.027573529
19,3_2,13.6,7.9,Pije,41.9,72.2,0.027573529
19,3_3,12.8,6.8,Pije,46.9,88.2,0.027573529
19,3_1,13.8,6.2,Pila,55.1,122.6,0.029971228
19,3_2,13.1,6.3,Pila,51.9,107.9,0.029971228
19,3_3,13.1,7,Pila,46.6,87.1,0.029971228
19,3_1,12.8,8.4,Pipo,34.4,52.4,0.028426319
19,3_2,13.4,8.6,Pipo,35.8,55.8,0.028426319
19,3_3,13,8.9,Pipo,31.5,46.1,0.028426319
19,3_1,12.1,3.2,Quke,73.6,278.1,0.026641091
19,3_2,11.9,3,Quke,74.8,296.7,0.026641091
19,3_3,12.8,2.7,Quke,78.9,374.1,0.026641091
19,3_1,10.8,8,Segi,25.9,35,0.088946869
19,3_2,11,8.2,Segi,25.5,34.1,0.088946869
19,3_3,14.7,10.8,Segi,26.5,36.1,0.088946869
23,3_1,13,9.5,Abco,26.9,36.8,0.053418803
23,3_2,13.6,9.8,Abco,27.9,38.8,0.053418803
23,3_3,13.3,9.8,Abco,26.3,35.7,0.053418803
23,3_1,13.4,8.5,Abma,36.6,57.6,0.050322061
23,3_2,14.2,8.3,Abma,41.5,71.1,0.050322061
23,3_3,13.8,8.6,Abma,37.7,60.5,0.050322061
23,3_1,12.2,7.9,Cade,35.2,54.4,0.108006912
23,3_2,12.5,6,Cade,52,108.3,0.108006912
23,3_3,12.7,7.7,Cade,39.4,64.9,0.108006912
23,3_1,13.9,9.2,Pije,33.8,51.1,0.028136255
23,3_2,12.2,8,Pije,34.4,52.5,0.028136255
23,3_3,13.7,10.5,Pije,23.4,30.5,0.028136255
23,3_1,13.2,6.1,Pila,53.8,116.4,0.029971228
23,3_2,13.2,6.1,Pila,53.8,116.4,0.029971228
23,3_3,14.1,6.4,Pila,54.6,120.3,0.029971228
23,3_1,12.6,8,Pipo,36.5,57.5,0.029024768
23,3_2,12.1,8.7,Pipo,28.1,39.1,0.029024768
23,3_3,12.5,7.3,Pipo,41.6,71.2,0.029024768
23,3_1,12.8,3.3,Quke,74.2,287.9,0.026641091
23,3_2,13,3,Quke,76.9,333.3,0.026641091
23,3_3,13.7,3.2,Quke,76.6,328.1,0.026641091
23,3_1,12.7,9.8,Segi,22.8,29.6,0.088946869
23,3_2,12.6,9.7,Segi,23,29.9,0.088946869
23,3_3,13.7,10.2,Segi,25.5,34.3,0.088946869
28,3_1,10.9,8.3,Abco,23.9,31.3,0.050322061
28,3_2,11.7,9,Abco,23.1,30,0.050322061
28,3_3,11.7,9.3,Abco,20.5,25.8,0.050322061
28,3_1,14.2,10.1,Abma,28.9,40.6,0.048904538
28,3_2,11.2,7.7,Abma,31.3,45.5,0.048904538
28,3_3,10.4,7.8,Abma,25,33.3,0.048904538
28,3_1,12,6.5,Cade,45.8,84.6,0.106112054
28,3_2,13.8,8.1,Cade,41.3,70.4,0.106112054
28,3_3,11.9,6.1,Cade,48.7,95.1,0.106112054
28,3_1,12,9.2,Pije,23.3,30.4,0.028136255
28,3_2,13.4,9.4,Pije,29.9,42.6,0.028136255
28,3_3,12.9,8.3,Pije,35.7,55.4,0.028136255
28,3_1,11.6,8.2,Pila,29.3,41.5,0.028136255
28,3_2,13.8,7.3,Pila,47.1,89,0.028136255
28,3_3,13,5.2,Pila,60,150,0.028136255
28,3_1,13.4,8,Pipo,40.3,67.5,0.029024768
28,3_2,12.1,9.2,Pipo,24,31.5,0.029024768
28,3_3,12.8,7.7,Pipo,39.8,66.2,0.029024768
28,3_1,13.5,3.3,Quke,75.6,309.1,0.026354628
28,3_2,12.7,3.1,Quke,75.6,309.7,0.026354628
28,3_3,13.1,2.7,Quke,79.4,385.2,0.026354628
28,3_1,12.5,9.9,Segi,20.8,26.3,0.087657784
28,3_2,13.1,10,Segi,23.7,31,0.087657784
28,3_3,12.4,9.2,Segi,25.8,34.8,0.087657784
67,3_1,11.1,9.9,Abco,10.8,12.1,0.043402778
67,3_2,11.7,10.4,Abco,11.1,12.5,0.043402778
67,3_3,11.6,10.5,Abco,9.5,10.5,0.043402778
67,3_1,11.2,9.9,Abma,11.6,13.1,0.043402778
67,3_2,12.2,10.3,Abma,15.6,18.4,0.043402778
67,3_3,11.5,10.1,Abma,12.2,13.9,0.043402778
67,3_1,14.4,8.9,Cade,38.2,61.8,0.091642229
67,3_2,12.2,8.8,Cade,27.9,38.6,0.091642229
67,3_3,13.1,9.6,Cade,26.7,36.5,0.091642229
67,3_1,12.8,11.8,Pije,7.8,8.5,0.025296816
67,3_2,10.8,10.3,Pije,4.6,4.9,0.025296816
67,3_3,11.7,11,Pije,6,6.4,0.025296816
67,3_1,10.6,9.9,Pila,6.6,7.1,0.026012764
67,3_2,11.6,10.5,Pila,9.5,10.5,0.026012764
67,3_3,10.3,9.5,Pila,7.8,8.4,0.026012764
67,3_1,13,12.1,Pipo,6.9,7.4,0.026012764
67,3_2,10.8,10.2,Pipo,5.6,5.9,0.026012764
67,3_3,10.6,9.9,Pipo,6.6,7.1,0.026012764
67,3_1,10.8,5.8,Quke,46.3,86.2,0.022694263
67,3_2,11.1,8.1,Quke,27,37,0.022694263
67,3_3,11.9,4.9,Quke,58.8,142.9,0.022694263
67,3_1,11.1,10.2,Segi,8.1,8.8,0.076561862
67,3_2,11.8,10.9,Segi,7.6,8.3,0.076561862
67,3_3,12.3,11.4,Segi,7.3,7.9,0.076561862
72,3_1,11.4,10,Abco,12.3,14,0.042344173
72,3_2,11.8,10.3,Abco,12.7,14.6,0.042344173
72,3_3,11.4,10.1,Abco,11.4,12.9,0.042344173
72,3_1,12.8,11,Abma,14.1,16.4,0.043402778
72,3_2,12.4,10.9,Abma,12.1,13.8,0.043402778
72,3_3,14.4,12.4,Abma,13.9,16.1,0.043402778
72,3_1,13.2,9.5,Cade,28,38.9,0.088946869
72,3_2,11.2,8.5,Cade,24.1,31.8,0.088946869
72,3_3,12,10,Cade,16.7,20,0.088946869
72,3_1,11.9,11.1,Pije,6.7,7.2,0.025066845
72,3_2,10.3,9.6,Pije,6.8,7.3,0.025066845
72,3_3,12.1,11.2,Pije,7.4,8,0.025066845
72,3_1,11,10.1,Pila,8.2,8.9,0.026260504
72,3_2,11.2,10.2,Pila,8.9,9.8,0.026260504
72,3_3,11.2,10.1,Pila,9.8,10.9,0.026260504
72,3_1,11.6,10.9,Pipo,6,6.4,0.025769654
72,3_2,11.2,10.4,Pipo,7.1,7.7,0.025769654
72,3_3,13,12.2,Pipo,6.2,6.6,0.025769654
72,3_1,11.8,4.7,Quke,60.2,151.1,0.023795926
72,3_2,11.4,7.3,Quke,36,56.2,0.023795926
72,3_3,12,7.8,Quke,35,53.8,0.023795926
72,3_1,11.6,10.7,Segi,7.8,8.4,0.077543424
72,3_2,12.9,11.9,Segi,7.8,8.4,0.077543424
72,3_3,12.9,11.7,Segi,9.3,10.3,0.077543424
97,3_1,13,10.5,Cade,19.2,23.8,0.08640553
97,3_2,14.4,12.3,Cade,14.6,17.1,0.08640553
97,3_3,13.3,11.7,Cade,12,13.7,0.08640553
97,3_1,12.8,6.9,Quke,46.1,85.5,0.021129141
97,3_2,11.7,10.1,Quke,13.7,15.8,0.021129141
97,3_3,11.3,9.7,Quke,14.2,16.5,0.021129141
0,4_1,10.1,5.4,Abco,46.5,87,0.056003584
0,4_2,10.4,7.3,Abco,29.8,42.5,0.056003584
0,4_3,11.8,6.8,Abco,42.4,73.5,0.056003584
0,4_1,11.4,7,Abma,38.6,62.9,0.050322061
0,4_2,11.5,6.5,Abma,43.5,76.9,0.050322061
0,4_3,11.3,7,Abma,38.1,61.4,0.050322061
0,4_1,12.8,6.6,Cade,48.4,93.9,0.114120511
0,4_2,12.2,6.5,Cade,46.7,87.7,0.114120511
0,4_3,12,6.4,Cade,46.7,87.5,0.114120511
0,4_1,12.8,5.9,Pije,53.9,116.9,0.029333542
0,4_2,13.6,6.2,Pije,54.4,119.4,0.029333542
0,4_3,11.6,4.8,Pije,58.6,141.7,0.029333542
0,4_1,13.1,5.1,Pila,61.1,156.9,0.030300582
0,4_2,11.3,3.9,Pila,65.5,189.7,0.030300582
0,4_3,12,4,Pila,66.7,200,0.030300582
0,4_1,13.6,5.9,Pipo,56.6,130.5,0.030300582
0,4_2,13.2,5.6,Pipo,57.6,135.7,0.030300582
0,4_3,12.3,5.5,Pipo,55.3,123.6,0.030300582
0,4_1,11.3,1.6,Quke,85.8,606.3,0.02785205
0,4_2,12.6,1.8,Quke,85.7,600,0.02785205
0,4_3,11.3,2,Quke,82.3,465,0.02785205
0,4_1,12.4,8.3,Segi,33.1,49.4,0.097554631
0,4_2,12.2,7.5,Segi,38.5,62.7,0.097554631
0,4_3,12.7,7.7,Segi,39.4,64.9,0.097554631
44,4_1,12.3,10.7,Abco,13,15,0.046921922
