tag,spcode,year,alt,asp,li,lf,ldrate,lti,ltf,ltdrate,wi,wf,wdrate,display.name
141,Abco,1,l,s,64.405,15.25818182,1.440075398,151.7634851,27.70628358,1.700664059,2,1.6,0.223143551,A. concolor
142,Cade,2,l,n,80.396,7.980659898,1.154971661,100.6572155,8.846084326,1.215872963,2,1.1,0.2989185,C. decurrens
143,Cade,2,l,n,81.8775,12.75243902,0.929750839,101.2923929,11.44858707,1.090072496,2,1.4,0.178337472,C. decurrens
144,Cade,2,l,n,88.95333333,13.66,0.936820017,117.6823292,13.622635,1.078128061,2,1.5,0.143841036,C. decurrens
145,Cade,1,l,s,77.185,14.06905263,1.702227601,103.5658257,15.48976012,1.90002824,2,1.7,0.162518929,C. decurrens
146,Cade,1,l,s,95.34,10.12885714,2.242060957,158.092792,13.16143985,2.485890821,2,1,0.693147181,C. decurrens
147,Cade,1,l,s,96.84,10.69278481,2.203490935,165.6679825,12.12024393,2.615108573,2,1,0.693147181,C. decurrens
148,Pipo,1,l,s,206,129.8235294,0.461700107,282.7084756,144.7039614,0.669726236,2,1.7,0.162518929,P. ponderosa
149,Pipo,1,l,s,206.75,96.28571429,0.764190372,278.2893226,90.61021255,1.122094373,2,1.8,0.105360516,P. ponderosa
150,Pipo,1,l,s,193.5,137.6294118,0.340712862,249.576604,131.4173572,0.641387706,2,1.9,0.051293294,P. ponderosa
151,Pipo,2,l,n,189.9444444,103.0688889,0.305667021,260.7744778,100.3611308,0.477440488,2,1.8,0.052680258,P. ponderosa
152,Pipo,2,l,n,200.5625,96.71470588,0.364680225,269.9712657,70.6929417,0.669984898,2,1.8,0.052680258,P. ponderosa
153,Pipo,2,l,n,202.6875,111.794,0.297503746,266.8299088,74.32966424,0.639050644,2,1.8,0.052680258,P. ponderosa
154,Abco,2,l,s,71.2825,16.6796875,0.726229597,158.5363272,33.58617025,0.775934689,2,1.4,0.178337472,A. concolor
155,Abco,2,l,s,79.38,14.78248,0.840401876,191.6315824,27.46264271,0.971374026,2,1.3,0.215391458,A. concolor
156,Abco,2,l,s,85.71,17.43304762,0.796300906,173.8992504,33.25993911,0.827061234,2,1.4,0.178337472,A. concolor
157,Abco,1,l,n,78.765,18.11765306,1.469581966,156.0010434,34.67159574,1.50394191,2,1.7,0.162518929,A. concolor
158,Abco,1,l,n,81.42,18.35610294,1.489658839,168.8763958,35.29573673,1.565404878,2,1.8,0.105360516,A. concolor
159,Abco,1,l,n,78.9225,18.89511905,1.429562721,140.529594,26.64173353,1.662939184,2,1.8,0.105360516,A. concolor
160,Cade,1,l,n,70.8225,9.81245283,1.976524471,96.74913534,12.25615465,2.066093163,2,1.3,0.430782916,C. decurrens
161,Cade,1,l,n,81.575,15.1294186,1.684881742,119.965452,15.70975401,2.032922007,2,1.6,0.223143551,C. decurrens
162,Cade,1,l,n,87.04666667,13.22591398,1.884266288,99.90922952,12.35318346,2.090348269,2,1.5,0.287682072,C. decurrens
163,Cade,2,l,s,97.31,11.1152439,1.084792134,158.2992993,11.2158586,1.323579409,2,1,0.34657359,C. decurrens
164,Cade,2,l,s,84.8075,8.080355556,1.175474053,115.5875961,10.15948601,1.215810399,2,1.1,0.2989185,C. decurrens
165,Cade,2,l,s,84.4625,10.0025,1.066736294,121.3928406,14.56965799,1.060045378,2,0.9,0.399253848,C. decurrens
166,Pipo,1,l,n,231.3571429,157.5,0.384537131,325.8622158,120.9873895,0.99078832,2,1.8,0.105360516,P. ponderosa
167,Pipo,1,l,n,204.875,177.8181818,0.141638459,277.4072011,128.6888676,0.768088855,2,1.75,0.133531393,P. ponderosa
168,Pipo,1,l,n,221.6428571,105.0555556,0.746578024,274.5550841,81.16993314,1.218607014,2,1.8,0.105360516,P. ponderosa
