tag,spcode,alt,asp,year,l,w,t
20,Cade,l,n,1,5.1,1.53,0.82
20,Cade,l,n,1,4.91,1.68,0.78
20,Cade,l,n,1,4.62,1.79,0.87
20,Cade,l,n,1,4.9,1.5,0.63
20,Cade,l,n,1,4.95,1.51,0.75
20,Cade,l,n,1,4.16,2.04,1.18
20,Cade,l,n,1,4.32,1.55,0.67
20,Cade,l,n,1,4.68,1.64,0.73
20,Cade,l,n,1,4.81,1.88,0.89
20,Cade,l,n,1,4.48,1.78,0.67
20,Cade,l,n,1,4.88,1.7,0.84
26,Segi,m,n,1,7.42,2.17,1.54
26,Segi,m,n,1,9.3,2.07,1.63
26,Segi,m,n,1,9.47,2.1,2.04
26,Segi,m,n,1,3.96,2.03,1.34
26,Segi,m,n,1,6.4,1.85,1.71
26,Segi,m,n,1,3.99,1.44,1.4
26,Segi,m,n,1,7.48,1.83,1.31
26,Segi,m,n,1,8.29,1.78,1.19
26,Segi,m,n,1,10.46,1.94,1.44
26,Segi,m,n,1,7.68,2.87,1.43
26,Segi,m,n,1,8.14,2.31,1.31
26,Segi,m,n,1,10.24,1.91,1.43
26,Segi,m,n,1,10.19,1.85,1.29
26,Segi,m,n,1,14.62,3.94,1.61
26,Segi,m,n,1,7.73,2.93,1.51
26,Segi,m,n,1,10.51,2.06,1.37
26,Segi,m,n,1,16,1.82,1.45
26,Segi,m,n,1,11.62,1.84,1.3
26,Segi,m,n,1,10.59,2.38,1.87
26,Segi,m,n,1,10.65,2.66,2.23
26,Segi,m,n,1,8.84,2.07,1.7
26,Segi,m,n,1,11.24,1.91,1.36
26,Segi,m,n,1,11.71,2,1.44
26,Segi,m,n,1,13.35,2.09,1.21
26,Segi,m,n,1,12.24,3.21,2.52
26,Segi,m,n,1,16.23,2.25,1.33
26,Segi,m,n,1,17.98,2.2,1.28
26,Segi,m,n,1,19.22,1.76,1.06
26,Segi,m,n,1,19.53,1.69,1.07
26,Segi,m,n,1,23.46,2.24,1.03
26,Segi,m,n,1,23.18,3.83,1.24
26,Segi,m,n,1,21.65,5.52,1.36
26,Segi,m,n,1,23.49,2.52,1.07
26,Segi,m,n,1,24.85,2.7,1.38
26,Segi,m,n,1,24.36,2.44,1.25
26,Segi,m,n,1,26.28,2.1,1.21
26,Segi,m,n,1,24.31,2.21,1.23
26,Segi,m,n,1,30.96,1.85,1.16
26,Segi,m,n,1,27.86,1.72,1.1
26,Segi,m,n,1,28.35,1.87,1.14
26,Segi,m,n,1,35.28,2.04,1.35
26,Segi,m,n,1,31.03,3.3,2.38
26,Segi,m,n,1,23.36,4.94,1.43
26,Segi,m,n,1,34.06,2.96,2.12
26,Segi,m,n,1,30.12,8.1,1.26
26,Segi,m,n,1,40.4,1.78,1.21
26,Segi,m,n,1,45,5.79,1.27
26,Segi,m,n,1,51.99,3,1.02
26,Segi,m,n,1,44.07,5.3,1.41
26,Segi,m,n,1,40.18,2.92,1.34
26,Segi,m,n,1,57.89,3.86,1.25
26,Segi,m,n,1,65.81,3.87,1.4
26,Segi,m,n,1,78.61,3.77,2.11
