tr,spcode,bulk,ignit,sustain,spread,combus,consum,b75.numsecs100,b75.heat100,leaf.length,leaf.area,mixture
205,PipoQukeSegi,0.020022222,1.2,385.9,0.4858,1000,92.7414,561,2910.5,107.1753812,1276.253633,TRUE
18,Quke,0.018214141,1.7,474.8,0.4229,1070,92.5022,631,3734.5,63.98626518,1919.344657,FALSE
19,Quke,0.01819798,1.3,485.1,0.454,1055,92.0071,427.5,3152.5,63.98626518,1919.344657,FALSE
33,Quke,0.018189899,0.5,436.5,0.4529,920,92.1368,584,3926,63.98626518,1919.344657,FALSE
34,Quke,0.019951111,1.5,1109.8,0.4312,790,91.6685,963.5,3812.5,63.98626518,1919.344657,FALSE
41,Quke,0.020031111,1.1,471.2,0.4296,960,77.7901,628,3434.5,63.98626518,1919.344657,FALSE
20,Segi,0.067096296,2.8,2753.4,0.0569,410,85.9792,690.5,3633,64.65098949,388.0944944,FALSE
21,Segi,0.050044444,7.5,1928.5,0.0824,580,94.2496,686.5,3415,64.65098949,388.0944944,FALSE
43,Segi,0.05,2.7,1238.5,0.1344,770,92.9333,551.5,2936,64.65098949,388.0944944,FALSE
44,Segi,0.050111111,2.4,1612.5,0.0984,600,87.4501,821,4143.5,64.65098949,388.0944944,FALSE
56,Segi,0.100022222,10.1,1867.7,0.084,570,81.6707,741.5,2384.5,64.65098949,388.0944944,FALSE
